Platform,Platform Type,Contractor/Service,Website,Services Offered,Pricing,Rating/Reputation,Notes
Wyzant,Self-Service Registration,Molly Wheatley,mollywheatley.com,"Tutoring business coaching, Tutorpreneur Academy",Contact for pricing,Established coach,General tutoring business strategies
Wyzant,Self-Service Registration,Joanne Kaminski,onlinetutorcoach.com,"One-on-one coaching, Tutoring Business in a Box",Contact for pricing,Online tutoring specialist,Marketing and business growth focus
Braintrust,Self-Service Registration,Platform Resources,usebraintrust.com/blog/21-profile-tips,Self-service guides and tips,Free,Official resource,No third-party services available
Upwork,Self-Service Registration,Mariia P.,upwork.com,"Profile Optimization, Consultation, Agency Optimization, Bidding Strategy",From $50,98% Job Success,Claims $1M+ generated for clients
Upwork,Self-Service Registration,PouncerAI,pouncer.ai/upwork-profile-optimizer,"AI-powered profile analysis, keyword strategy",Free analysis; $47 unlimited,Software tool,Automated recommendations
Upwork,Self-Service Registration,Vollna,vollna.com,Free profile reviews,Free,Third-party tool,Budget option
LinkedIn,Self-Service Registration,LinkedIn-Makeover.com,linkedin-makeover.com,"Profile writing, career branding, corporate training",Consultation-based,Author of LinkedIn Profile Optimization For Dummies,Founded by Donna Serdula
LinkedIn,Self-Service Registration,TopResume,topresume.com/linkedin-profile-services,LinkedIn profile makeovers,From $99,60-day interview guarantee,Large network of writers
LinkedIn,Self-Service Registration,Nauman A. (Upwork),upwork.com,100% Optimized LinkedIn profile Content,From $35,4.9/5 (2800+ reviews),Top Rated freelancer
LinkedIn,Self-Service Registration,Jawad S. (Upwork),upwork.com,"LinkedIn Profile Optimization, Company Page, Branding/SEO",From $49,4.9/5 (1100+ reviews),Top Rated Plus freelancer
LinkedIn,Self-Service Registration,Hanzla S. (Upwork),upwork.com,"LinkedIn Profile Optimization, Writing",From $35,4.9/5 (600+ reviews),Top Rated freelancer
FlexJobs,Job Board,FlexJobs Career Coaching,flexjobs.com/job-search-career-advice/career_coaching,"Resume/profile reviews, mock interviews, job search strategy",Included with membership,Official service,In-house career experts
FlexJobs,Job Board,Michael S. (Upwork),upwork.com,"Resume, cover letter, LinkedIn optimization",$35,Top Rated,General resume services
FlexJobs,Job Board,Delwar H. (Upwork),upwork.com,"ATS Compliant Resume/CV, Cover Letter, LinkedIn",$30,Top Rated,24-hour turnaround
HigherEdJobs,Job Board,TopResume (Official Partner),higheredjobs.com/career/ResumeService.cfm,"Resume/CV writing, cover letter, LinkedIn makeover",$139-$379,60-day interview guarantee,Certified professional resume writers
HigherEdJobs,Job Board,The Professor Is In,theprofessorisin.com,"CV/cover letter editing, interview prep, career consulting",$400-$675,Well-known academic career advisor,Dr. Karen Kelsky
HigherEdJobs,Job Board,Faisel M. (Upwork),upwork.com,Academic resume writing,From $30,4.8/5 (330 reviews),Top Rated
Indeed,Job Board,Indeed Resume Services,indeed.com/career-services/resume-help/,"Resume Review, Live Consultation, Resume Writing","$35, $55, $155",Official service,Directly integrated with Indeed
Indeed,Job Board,Indeed Career Coaching,indeed.com/career-services/career-coaching/,One-on-one career coaching,Contact for pricing,Official service,AARP member discounts available
Indeed,Job Board,ruchirad (Fiverr),fiverr.com,Create and optimize Indeed resume,From $5,Fiverr seller,Budget option
Indeed,Job Board,lacagnim (Fiverr),fiverr.com,Optimize Indeed Quick Apply Resume,From $25,Fiverr seller,Resume critique included
Indeed,Job Board,TheResumeWriters (Etsy),etsy.com/shop/TheResumeWriters,"Resume writing, LinkedIn and Indeed optimization",CA$68.20,Highly rated on Etsy,Multiple services bundled
BELAY,Company Hiring Process,BELAY Virtual Assistant Master Class,belaysolutions.com/ultimate-virtual-assistant-master-class/,"VA training, best practices, advanced skills, soft skills",$249.99,Official training,Not direct application assistance
UMGC,Company Hiring Process,The Professor Is In,theprofessorisin.com,"Job document editing, interview prep, career strategy",$400-$675,Well-known academic advisor,Comprehensive academic services
UMGC,Company Hiring Process,Nauman A. (Upwork),upwork.com,Academic resume writing,From $35,4.9/5 (2824 reviews),Top Rated
Toptal,Rigorous Screening,Optyp,optyp.com/explore/freelancing/toptal/,"Headline mastery, overview construction, portfolio curation","$79 individual, $339 Elite plan",Claims 3x increase in invitations,Only dedicated Toptal service found
Toptal,Rigorous Screening,MentorCruise,mentorcruise.com,1-on-1 coaching with Toptal members,$240/month,Mentorship platform,Personalized guidance
MentorCruise,Rigorous Screening,Platform Mentors,mentorcruise.com,Career coaching and personal branding,Varies by mentor,Self-service platform,Mentors provide optimization advice
Chegg,Rigorous Screening,Ayush V. (Upwork),upwork.com/freelancers/~0173c1357a2559af7e,"Test prep, admission consulting, profile/resume building",$75/hour,Chegg Tutor experience,GMAT/GRE/SAT focus
Udemy,Course Platform,Allah D. (Upwork),upwork.com,"Course creation, instructional design, Udemy setup",$28/hour,100% Job Success; $50K+ earned,End-to-end course creation
Udemy,Course Platform,Mylen F. (Upwork),upwork.com,"Client onboarding, system management",$30/hour,5.0 rating,Process optimization
Udemy,Course Platform,Udemy 1:1 Coaching (Beta),teach.udemy.com,Instructor coaching program,Platform feature,Official beta program,For instructors to offer coaching
Teachable,Course Platform,CourseUp,courseup.co,"Full course set-up, mini course set-up, live tech support",Contact for quote,Official Teachable experts,Positive reviews
Teachable,Course Platform,Kurricula,kurricula.co.uk,"Full-service eLearning development, marketing",Consultation-based,Teachable selected partners,High-volume experience
Teachable,Course Platform,Course Co.,course.co/platform/teachable,"Done-for-you course creation, video production, marketing",Contact for quote,Full-service agency,Comprehensive services
Teachable,Course Platform,Oleksandr P. (Upwork),upwork.com,"LMS setup, instructional design, AI video creation",$25/hour,5.0 rating,Learning Technologist
Teachable,Course Platform,Osher,osher.com.au/tools/teachable/,"Teachable consulting, integration, automation",Contact for quote,Automation experts,Integration specialists
Coursera,Course Platform,Kimberly S. (Upwork),upwork.com/freelancers/~011683f54367a7aeb9,"Instructional design, LMS specialist, course development",Contact for pricing,Award-winning designer,General course creation
Coursera,Course Platform,Sarah Cordiner - Concept To Course,sarahcordiner.com/c2c/,Step-by-step course creation training,Course-based,Established program,Planning and creation focus
Coursera,Course Platform,Wendy McCallum - Coaching Course Creator,wendymccallum.com/ccc,8-week idea to profitable course program,Program-based,8-week program,Comprehensive coaching
